company,job_title,location,company_rating,job_age,job_link,oppurtunita_carriera,stipendio_e_benefit,cultura_e_valori,dirigenti_senior,equilibrio_lavoro_vita_privata,sede_centrale,dimensioni,tipo,entrate,fondata_nel,settore,segmento,scraping_date
Saipem Italia OFFCO,Security Officer,Italia,,3 g,https://www.glassdoor.it/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018669363b8cbf98b6c58eb6c6ed&src=GD_JOB_AD&t=SR&vt=w&cs=1_e3cb794f&cb=1676802407557&jobListingId=1008474128563&cpc=4A43B94DDEA77FFA&jrtk=3-0-1gpkjcetdncdv801-1gpkjceu0i9ic800-f8f3465280bc418b--6NYlbfkN0CsDm3IUperF1RINdpGHLuhgFoi3Ntjo5CuBDSv6Xb6c2scNx0yUYfBgcIMqq9pQJFGLQwIdpDybKZfy4JQqahjxFN5V8nL_yfSI4QbxTWXdRfUKD3P9ZjUB8gMrDPF-MNachTuxxhv8NlhO_Q0_AE9YqHg-syf132R4qvrjoc69rBcvKuj8JA_Dp_irv5rEZln8i27MV7o9wpMwQn0Toxj8J-XMKs5veTLsgEOzTjqGGbckBTQLlbXRKCMMhCHbmeSO2V6rsJ3ibpK-X_IE_ctqonyHQpZpY91b4_OiRSKYy1jjK8HC_l4cTOemC7I_45zQczRKmQ9rCJXJUO0OpK7qc2IPCpGo8kQDgWCqqcGrU00hZHd8WV74d8PcQHQP8DLQSneUUz0JIX2On0OU6fFBJMv6bnh2HDhiWxi7HEciApdUC7S0VsXD0tf1_gA92qPAAcqWWfJdnFMNMx6Ot0kOxF4IVxF88DnSy-4TMELhsuUc0hWIOh4l7jdZQR0oDm6e7-yK2545lc2R72n1mP8Ss8JiDTlSGp1NHW0G2gBCCI-YdaC4r6FvJapqaEkt2yczLCTTsLTZksY2CinB4AWPAgLjfsdjOrXrznPiiLKzOdCicO0NxNi5HABJe8CDXoMhDNObmBHNxWD2vqaUpwVEj5AJHQqg-Z4NHPHMvcxlekGyYZNcovpfozrm-XLv-y8Me3asOjSfg8wbaYImrvX,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-19
Adecco,Tecnico di Assistenza,Cagliari,3.7,19 g,https://www.glassdoor.it/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018669363b8cbf98b6c58eb6c6ed&src=GD_JOB_AD&t=SR&vt=w&cs=1_0c4fba73&cb=1676802407558&jobListingId=1008437879403&cpc=45DC3EB807283E85&jrtk=3-0-1gpkjcetdncdv801-1gpkjceu0i9ic800-70922d06aac29a2b--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKda-kTTl3QRmj7tRtVZSm0dJKaHQ-y48kgFVljL9XBIVHbIpwbl82A58PIu0oaAHYHOhw5L6Of98j_K7Kkcs_YSYIFvmm4BNw6Iepxd__8vs25U1hQ91O3IRmX-uYEf_WweLSg1NOpIhziEgrYgGpWfkAVMgwV9YkGS0eInGKbHfsXGAx4enDvlaUAVnmVL-X6W7onVUv0ScaHbz3871EnCQVYM0e54YpWJSCWRvvRsqhdbNf3ILof8fCfMpO09mBF9maGVZ8NFyu3wf1lL3m2q-96Tt2k5SM1zDcpdwHgnl9ehdhVXkEpiRH-F-Sn7XPtbERUftjwODX3MgDUKwO_NKYAQI3NntPeE9wxOKcNx9ErV4s6wKuP9hN8naVb3wReXZJkBHLgsPVpFpIyKCzzTJ5884-BW4ibLpNwM0SrGI9y5j1t5GPoMVTdEZhttM2U4ygZUfric3wjQXdu2LBo2SK-CV9U28ix-S7fGuK7Drv_7qXb5mNjg%3D%3D,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale,2023-02-19
Facile.it,Consulente,Sestu,4.2,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018669363b8cbf98b6c58eb6c6ed&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_69247677&cb=1676802407558&jobListingId=1008145082584&cpc=BC94DADD91C18169&jrtk=3-0-1gpkjcetdncdv801-1gpkjceu0i9ic800-2d4669e791f789ba--6NYlbfkN0BmDrR7OGR9gJmF054fDOj_Irftsb9Ib-ykftL4-GTXRCGSkjph3fWfRaWfCQT5_RZIIwi5ZOQo4KHPlotQaPWrrPdZT1b-FA-vJKOIGBrAutlSGTJ4f_4oqkp5fRO8pUuHjCOh2_viFsl9XF48PJnC76ENcr34roaHvgjO10T8WBSS53V_EEe1iB3q-Wn6l2z_XShNeckKBGj8PR7vfLz4LYRvxAEz0Uk1u4u5ua3x3LUKs9L0tbzebrHwZKoC8j73wd5GnOEjv1K-kJCf9Kl_Cm_9VC0sXK4LdxOnGMyoUReNwiHqDNtpQXl41wMorHF7ZTXMFYpsu0ic7fc0wqB0t8HYBh8FiruySNrk-NLU0axzdU05no-MEX38rJnZJ-n3BE3R8qxyDMzWZZ9S7BQmYTiL9qKMuea8joY4f7j7CwWNr19QoY7-zHzZ-511wGQYFSslu2P88VC0nCPyWnXpFtdwvNUfOL-7IJHkUDK4jVG1RcuW1fGP3_oDL90Oem0NwGUbVGc1-EK2zksaeFBJVW46BXZaJZ2FgyZKRgn_0oFQ9Opavv8qYYKZ8XF7UXtyh1JveGot_bWMYFvwT9l9BXsJAp0F101Y99U-YkEkPDr4nMbm3HwQ1bLtPSRbDLxoUAuTQWajj4puxwRDjeLTTIJ63FuoBVM%3D,3.9,3.2,4.1,3.8,4.1,"Milano, Italia",Da 501 a 1.000 dipendenti,Azienda - Settore privato,$ 100 - $ 500 milioni (USD),2011,Servizi Internet e web,IT (Information Technology),2023-02-19
adecco,Autista,Cagliari,3.7,24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018669363b8cbf98b6c58eb6c6ed&src=GD_JOB_AD&t=SR&vt=w&cs=1_85015139&cb=1676802407558&jobListingId=1008428775077&cpc=9EDA28EADF1DF7F0&jrtk=3-0-1gpkjcetdncdv801-1gpkjceu0i9ic800-9a5cd7abf9f390d3--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKdzY5G2Tp0o4LyaMfO5bKfI6BSgbSM1oSE2GJ3ZI9FOpBY1ZsHENkmIPZxYclVdIc1GV921cbNTff_ZU9A74rtysuvGvYZqJ7ptwQzrZjSasFBgiuvt9F3qaHoo8T0lxVKshBd32xkmJcE6YCl3AWnCx8ZCs2V4H-6IphA3L5AXktcY6TZYSHTdN8sprz0Bo3WsJsQLHsp5jOzR6ei9jYxVazXnEb1ODsga6wi2kHcM2vZWtu5nU_34cgnM3rWDtPLlbp-OpzCiXnGrPCsmG3cje2KncInVL6XdqnciJCHqIv77xR4hlpyt2CDrO5YqZ5yX3DyXHMgWPusGJHKzaFSIakkiegtGyZrwk3tdbIqAg997z_5rDl-8FkBnEpIvayQRLxDA1Y5nb0UKccHwsLmFdakqn6Qz3SQfFLyFx1XF04rPqUdBFbMnQFK_8H28Yo2i1GAS2hBHjLpemsRgPK8DoEpudu02354VxYY_maMUhMO24fRyPAGj0JC4A0cmitmvEfpR7iz_OgSL_VFzXabT_00n5DCZPt7cVuaGwInQdL90D1-Em-vBASWa_MYHdep0Z9YhqejDB-kljElxK2SOx_zKPwVMfj7ouI2q4rvyn_4J_SyT-CTlTVc68wpy-GhmrhwaGto6wAkPh9FZNq5MiuThWvmFi2dT3zlbuj5O4bTWVgtWbKODyw5GOIhkN96JpGMzaDO72kJQiJyc9opcgkbC4xN-ZEgm26X6Akobpk5Ge21MJ-CyzPurfUJWo8fLyUgr217iMp6dEKFSOwAQ%3D%3D,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale,2023-02-19
Eurospin Italia S.p.A.,Addetto Alle Vendite,Cagliari,3.6,26 g,https://www.glassdoor.it/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018669363b8cbf98b6c58eb6c6ed&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b5d913e2&cb=1676802407558&jobListingId=1008424011350&cpc=2CAED5C921A5F994&jrtk=3-0-1gpkjcetdncdv801-1gpkjceu0i9ic800-ffa3be6a41b935a7--6NYlbfkN0C1abZ9zL5NYIhXV7bfxDjOB5o2U9Geipmv_mrCPZiQ0iu8Xnde5mL7-oAyK2qtyyrjruc29eqthOFihiCpVV2iKNxg3-2pGzqzdhrYHe_2b0kmI8M10weyxx7VRkrOZBxQTKt-YYxGR1wFbat49fg9FZfpGWbCsIyNbP1-2phrK3BaGfUg90GX9LhY4qsePb8XbLyOLF3APwtKxFq-rRin7SecS4OBk_5gIILIu-mm8Sb6v_G47bnuX0xFOpmMJn96yEVJRtIgEU-FYLf2K2pXBdK2tXx60zRwkmpl-PAtHXZxgKL_8gfSJ1bJ6kA57PC6UV2AmOo7NHpPsLxnWNioTg77vVrzUM4CnfIr1AxAfkKUlgzRhLY-_qCwtGEIsSq_yNJo2DPf2HAJ55ciBVSYlgbsrPdqOUAIpiIAjyLsnoQzFUnCnuK-9HtOjPz8_cc0jNosibNoKeLFiCgHxYRAW4Esnwy6eakVf32lE2DycFbdUfWz5-MLDyI84t4XU3_vzSL6ZfgB0i0sAXrmnWGvpw50pm5GPIjSYcPeeHq2tAxTUvUG7Mg5sN8YEDUWYZAJ0Be5l7e25ZXetMFcRfawIJ59fohLxwmDKofNOEGdXsoRFNLByL__YeoIeCXUPS4%3D,2.8,2.5,3.0,2.8,2.9,"San Martino Buon Albergo, Italia",Sconosciuto,Azienda quotata in borsa,Sconosciuto/Non applicabile,0,Non_disponibile,Non_disponibile,2023-02-19
adecco,Assistente Amministrativo Tirocinante,Cagliari,3.7,24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=0000018669363b8cbf98b6c58eb6c6ed&src=GD_JOB_AD&t=SR&vt=w&cs=1_130962c6&cb=1676802407558&jobListingId=1008428777103&cpc=2F9DD8B511C89582&jrtk=3-0-1gpkjcetdncdv801-1gpkjceu0i9ic800-169b2b6547664e9c--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKHykkGYm-qu6J0gBIxgy3hCa7qrv0Mwhw588ArWco5L_wB2sWS_3ACLlTSdtmGHtA1vSEMq3f-SFT_2ofZ7IVJ12FG8VaAZiEgh_AXjj4yCuDB0dcm8uSIM3AyCkszcztOfcT2yYK38U5UhxZEOZ53TUn6excG-WRU8hxSLNIpzHyIgvnXl1TeKUIsh73gKTaQucyMkRmomOdbrvNcl5weFrr5Fi92xCvIwom1o3hJxO8k-g5BSh86TbffnRcid2OZsScsmcxiD0Tr31E4jjNNa9Il7YucL2PZw8PjAY0AnpPS4bO2pqLP_ANtBLgTl_OlFpkI8CRq2xZ-j4OILamcnl_ZFzXyfPJcmUiOkGh9UlyufEXUPm2QDFl3yI07oETC2GYeQ9oLfw6e2WGgOPEK0PwsBQI8STu7r3yL0X9cXfOgPQZ_a5Ts4TKmfaNQE5SXBns93QSExPCBYTk_ITWr0AftTIAjIfqnKRycQNMeLKmNap0xKptUOof4KXnfC4D_ghbJY3PZsA0Paz0Py7suNz5eeb1QAPePfSqzhZXcH_bmUszVAkPj6XVGwQK1ek2pcGpaL2GeIJU2WhiW3xC3zEdmj_Z64yu-RgmgvKZCeQHri55EuueahT_qO-oO6p3xSi2KEFRVlRr1qNpf_skjBjDvDmmE1YCx872RSXYoa-rPHlutU9s9oMjw7ilwqSdvQ2D6QjtASY-qOsPZJNgedRA503FjdMJ2Wyg4uKzbQUN11X-QfmZ-CVqUQRYsKe7D-oA_OGF9k7O36_jRculs5eIuKxhmbelWe57HGcULH4%3D,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale,2023-02-19
Innoviù Srl,Back End Engineer,Italia,,Oltre 30 g,https://www.glassdoor.it/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018669363b8cbf98b6c58eb6c6ed&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8252606c&cb=1676802407558&jobListingId=1008368578480&cpc=5FEB1BEB8E14EF52&jrtk=3-0-1gpkjcetdncdv801-1gpkjceu0i9ic800-40127b5e07880c70--6NYlbfkN0A0t4xPpaDdi-j5jsi_NaPSSH4zucqp6NvY0VgW3NSQ2JPqQr7HgFeK8Vn4wjBjCgfUFRyml4YHcFQFTE4tAHsz95wtIf6-Qd74tjSptQZeXoah0IY1ZOTU9b8QYDE74i8IhZDUz3E3_h-3m9KiW5CBZR34695q_HnsUTBDkzyhairF_563_i_SrtCADLuKQp_ZtTdKWhwflI_A96jETgqOgEM_BO1SIqoAmyfwokXc-002yi02TU2bnC1IwSAaZuTX8u8mCQlxNNiUAzikFENMxE00iYt3Ylg6k1lDvuDHCBeKNB-2i9SV_nqsqrz768lcvebQnWU2bzA3VLhiYZRasRJ7_u4OK68eI3sTFL0rKRUiRUeLS_m3CThX-UzqdHC-nHTuVzqaNsZ8RQvyGViI6z_kYVbrkrjXHo3MuUxy4N8b7VhMTpGgMz-boXqmYkPu3UGZG7LOCTc0C27MbPjNtR_vIo31g3drPnAiF0te5BujOAUOLUeND9OBG_ccRHnt9eEZo0TXcse4fpHoNZqyYUYYdfuEXdiDv75RTiW4g4WzOJo7uEirXgLsO_XCM6xeOtj3ichrVdKtmwd3A_VCoiydtaM_RvM%3D,,,,,,nan,nan,nan,nan,0,nan,nan,2023-02-19
adecco,Autista,Cagliari,3.7,24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=0000018669363b8cbf98b6c58eb6c6ed&src=GD_JOB_AD&t=SR&vt=w&cs=1_bdbc278b&cb=1676802407558&jobListingId=1008428775418&cpc=40021B6B9FB64F38&jrtk=3-0-1gpkjcetdncdv801-1gpkjceu0i9ic800-030b7ef8434cfb5b--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKdzY5G2Tp0o4LyaMfO5bKfBVXh5IMas0LbCt9XRFcfRLn6VKLNaVMrf2H6R594FJn-WwXeED2k2Bzr8WYoQPc4pY0qWnbST59RVy8_mkL1lhhGRy-5NP22_ocMkpauANkWtqrocwzWfQ8pAjUE-hrcHwCuULd9GGDhd78OYSuWQxz3DpfBXmxaOC9rWGX1DXA_7bpIIBYULWCpm-SxWW2EkPABqBgoXe9mCwoQrTI90bcUqi6pWOiqVbMkRbRiP5WohsHyKEKK3s48cc850FlztUJoNeduls_aw13jrDvoeYgZIV8hCrAb3QbC4fok6yOY1MUP-9BLD9XjOQ42nMs07AsU6dGTei4KQD5tv2sBvzkn80UyOA-lrbnKsc03Gnva5KKQxo1XS45ajA6cdqqTKnW2jpFpLAE8FN7sjZArL5SrVwEN8QcRRT5yUBsIT6aJ7L2RQjf-htNm5fggEgO5ZBF_5Hw14ImKjh7khnx6yVxI4_KAd2cPsTCO7RcjjoUkTvmLDV0NQ31xkKw2jK-MRdb_LphGZMOcj38HRBrPQIrXwP0FIIhQyqRKQrip_VbCwD36jxwn6-ac1bt1ftT2UJv4_6gSDiQju6xncGviwxC-HsmANwy2WArX1y23T0uApBuR9fTbVqJdJoWd91SzYlnKp7Q_s0jc_4yW8oTaTcfUlI0jrH96lP7BnuwoNS80owqFuw7O8uWb3SnO8ec0EQrsizXINNe0BuTcmNzVBqVjIJQG8WMKrKRtMGR926wN4A7b7DK-kIyxpBuMmGR42u0LwE3C73X9aK6BbAlzZA%3D,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale,2023-02-19
adecco,Contabile,Elmas,3.7,24 g,https://www.glassdoor.it/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=0000018669363b8cbf98b6c58eb6c6ed&src=GD_JOB_AD&t=SR&vt=w&cs=1_730a8662&cb=1676802407558&jobListingId=1008428772912&cpc=1120CD366D53BFD9&jrtk=3-0-1gpkjcetdncdv801-1gpkjceu0i9ic800-b0683a963eb21d81--6NYlbfkN0AnZZki9slEX_z63wsqeqef2QbFTCLB32XeLZxhwflwiRdXftf8jmFKHykkGYm-qu6J0gBIxgy3hEt69qFCo4LGilRQut-05qFU2mKUooQs1c4Gn16pQb0rnbSYEjQ2qSfxLWvIdz1CwsBMUmUtuDrMAGLo3f0VQNT7V7UJd9CBgYC6JOW42dbFiknnMGmax0zsecC94tZh5-ayvFQFf6AZgbV1EwobLkqDloSIAY2BLtmohLUl-6j2Q_MnEfz1k-el6HZYMmiVmrlZ3INDET8hJJK3uyKLJmuXvMSroibL6Uasiwk5Re6t_ZO0SJEa0wR_PE_30zdRR2pnju6wRvT4GmUEAKxUgs-yJvxw_X9zbMH_HUPv9_mvtYJFe9VhynN2vwb0gw7KO7Oe-N2RKSts66LE1U6WD9AG9FbwEkTaGwnjZAUIKT4WJyG-LusX9Yu-LNEwlb7A5rD0YBUMdrIyX_WfPfxJvGAnJTR28xvhUajGaYfSHikDHEhZX5SpS3JppeLsp8cH2w_jZYd5ZyIhjdlz9VncOSCaJJ9R_CNHX0pgnflkYBiQAfVN_PCvWoarOYwmbWNFJtg1UQykQ1kKnMZEG-xwndpWx_ezyvZGfOu06oUnbt-wZTuTMNQ7wg-P87KFSO3STolEfv-BLImZbrmFW1nce8vuy0AYslf05_joKKKOlRzFcgj5TB4bv-SYwF3j6AMSSfwrHqq0tH8P2qbMUhtVuPtadSefjho3EdEOD2DRV8g05TOyBw4EfdPekjp8pverX5Mvf7S-RCmBBMb2mzcncpujxRtnmkNEb2Gp6aqHsxH3FrmwIzlNX4aFPXuLnqmWvM8An2Wpo1du,3.5,3.2,3.6,3.3,3.5,"Zürich, Svizzera",Da 201 a 500 dipendenti,Azienda quotata in borsa,Più di $ 10 miliardi (USD),1996,Selezione del personale e subappalti,Risorse umane e selezione del personale,2023-02-19
McDonalds Italia,Operatore Della Ristorazione,Cagliari,3.5,29 g,https://www.glassdoor.it/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=0000018669363b8cbf98b6c58eb6c6ed&src=GD_JOB_AD&t=SR&vt=w&cs=1_40be5927&cb=1676802407559&jobListingId=1008419244279&cpc=1CBFC3E34E2A31FF&jrtk=3-0-1gpkjcetdncdv801-1gpkjceu0i9ic800-ecf9c29168906262--6NYlbfkN0DEfmD6JQM7-HYhm4jDDmBcRH1b0qR7FVEjWKgiWJa8VnFtFWWxEapCqJNPm_0NiMpH7g2A5p9VDKzCAcn3FKO0sbTQZAzgZCoIqMJwvwCtP9BC6Pte3VI0ob5A26DF_BKBcc1l8zL2wjSMt3SUjp61-J8JQEnM8mD-sRRc3oQRu62EsoYSWyn4LV8bczxd4D9xJe-yONH8e1LkrhCYrm4lHBBqIo2exbLtfStRRJmAfCpmhLITpKDJyztjC41iJa-suLI3peaTDpU8nw9Wd8hBPjnu3lBH2UU5oMMeBfo534aw79z93y10aC3FHfZOpDZjzqC1hHxH9G_3d7W9GGLeGb5J_Zq6o_oDyulMA4zQFJwv6GshU-yNML_joXyEONbQc0x1tcQYcBbIWqsvn-JnWNxRcB-UJ7WBaest9anoWk_sVPr1_MpFVAXeWNRLRjiifoHawQwH2m-ydWai9dB3VxJH1ThPIPo2HqI6DI80t2xUgS5P3qIZVUPLUzgNA7g7TOhnmLfZO9u2QQW5_um9r_ERnZnRHlC6CggMFhLEChG4fBM68YlcsIRdUg6j5JJx9nqFode7I5Zp1P-X5Ah8,3.3,3.0,3.2,3.1,3.2,"Milano, Italia",Oltre 10.000 dipendenti,Azienda quotata in borsa,Sconosciuto/Non applicabile,1955,Ristoranti e caffè,Ristoranti e servizi alimentari,2023-02-19
